Order Number,Line Item,Order Date,Delivery Date,CustomerKey,StoreKey,ProductKey,Quantity,Currency Code,Product Name,Brand,Subcategory,Category,Unit Cost USD,Unit Price USD,Revenue,Cost,Profit
369011,1,1/4/2016,1/9/2016,1664824,0,1261,2,USD,Contoso Multi-Use Terminal Cable E308 White,Contoso,Cameras & Camcorders Accessories,Cameras and camcorders,18.86,36.99,73.98,37.72,36.260000000000005
369012,1,1/4/2016,1/13/2016,1696695,0,1423,3,USD,The Phone Company Touch Screen Phones - CRT M11 Black,The Phone Company,Touch Screen Phones,Cell phones,86.91,189.0,567.0,260.73,306.27
369012,2,1/4/2016,1/13/2016,1696695,0,1656,1,USD,Contoso DVD 9-Inch Player Portable M300 White,Contoso,Movie DVD,"Music, Movies and Audio Books",73.57,159.99,159.99,73.57,86.42000000000002
369012,3,1/4/2016,1/13/2016,1696695,0,1660,2,USD,Contoso DVD 15-Inch Player Portable L200 White,Contoso,Movie DVD,"Music, Movies and Audio Books",96.08,289.99,579.98,192.16,387.82000000000005
369012,4,1/4/2016,1/13/2016,1696695,0,1610,6,USD,SV DVD 15-Inch Player Portable L200 Silver,Southridge Video,Movie DVD,"Music, Movies and Audio Books",96.08,289.99,1739.94,576.48,1163.46
370000,1,1/5/2016,,2032025,51,1360,4,USD,Contoso In front of Centrex L15 White,Contoso,Home & Office Phones,Cell phones,15.57,46.99,187.96,62.28,125.68
370000,2,1/5/2016,,2032025,51,1158,4,USD,Fabrikam Independent Filmmaker 1/3'' 8.5mm X200 Black,Fabrikam,Camcorders,Cameras and camcorders,516.86,1560.0,6240.0,2067.44,4172.5599999999995
370000,3,1/5/2016,,2032025,51,457,2,USD,WWI Desktop PC1.60 E1600 White,Wide World Importers,Desktops,Computers,112.14,219.95,439.9,224.28,215.61999999999998
370001,1,1/5/2016,,1884908,61,1107,3,USD,"Contoso SLR Camera 35"" M358 Orange",Contoso,Digital SLR Cameras,Cameras and camcorders,164.63,358.0,1074.0,493.89,580.11
370001,2,1/5/2016,,1884908,61,1591,3,USD,SV DVD 55DVD Storage Binder M56 Silver,Southridge Video,Movie DVD,"Music, Movies and Audio Books",5.82,12.66,37.980000000000004,17.46,20.520000000000003
370001,3,1/5/2016,,1884908,61,1544,7,USD,The Phone Company PDA Phone Unlocked 3.7 inches M510 Silver,The Phone Company,Smart phones & PDAs,Cell phones,109.45,238.0,1666.0,766.15,899.85
370003,1,1/5/2016,,2092033,66,836,8,USD,Contoso USB Wave Multi-Media Keyboard E280 Grey,Contoso,Computers Accessories,Computers,8.11,15.9,127.2,64.88,62.32000000000001
370003,2,1/5/2016,,2092033,66,1529,3,USD,The Phone Company PDA Handheld 3.5 inch M610 Black,The Phone Company,Smart phones & PDAs,Cell phones,117.27,255.0,765.0,351.81,413.19
370004,1,1/5/2016,,1473090,43,1251,2,USD,Contoso Travel Charger for S-Series Battery E302 Black,Contoso,Cameras & Camcorders Accessories,Cameras and camcorders,30.58,59.99,119.98,61.16,58.82000000000001
370005,1,1/5/2016,,584095,24,1610,2,EUR,SV DVD 15-Inch Player Portable L200 Silver,Southridge Video,Movie DVD,"Music, Movies and Audio Books",96.08,289.99,579.98,192.16,387.82000000000005
370005,2,1/5/2016,,584095,24,1594,4,EUR,SV DVD 38 DVD Storage Binder E25 Red,Southridge Video,Movie DVD,"Music, Movies and Audio Books",5.09,9.99,39.96,20.36,19.6
370006,1,1/5/2016,,661636,16,1272,6,EUR,Contoso Lens Cap Keeper E314 White,Contoso,Cameras & Camcorders Accessories,Cameras and camcorders,3.54,6.95,41.7,21.240000000000002,20.46
370007,1,1/5/2016,,623659,15,267,1,EUR,Contoso Home Theater System 2.1 Channel M1210 White,Contoso,Home Theater System,TV and Video,167.73,329.0,329.0,167.73,161.27
370007,2,1/5/2016,,623659,15,126,7,EUR,"Adventure Works 19"" Color Digital TV E35 Black",Adventure Works,Televisions,TV and Video,73.11,143.4,1003.8000000000001,511.77,492.0300000000001
370008,1,1/5/2016,,183264,4,2105,1,AUD,Contoso Water Heater 7.2GPM X1800 Grey,Contoso,Water Heaters,Home Appliances,488.7,1475.0,1475.0,488.7,986.3
370010,1,1/5/2016,,1393738,48,1709,3,USD,MGS Gears of War M170,Tailspin Toys,Download Games,Games and Toys,32.25,70.13,210.39,96.75,113.63999999999999
370010,2,1/5/2016,,1393738,48,2113,10,USD,Contoso Water Heater 2.6GPM E0900 Red,Contoso,Water Heaters,Home Appliances,258.99,508.0,5080.0,2589.9,2490.1
370010,3,1/5/2016,,1393738,48,2088,2,USD,Contoso Water Heater 2.6GPM E0900 White,Contoso,Water Heaters,Home Appliances,258.99,508.0,1016.0,517.98,498.02
370011,1,1/5/2016,,1522590,47,32,2,USD,Contoso 32GB Video MP3 Player M3200 Pink,Contoso,MP4&MP3,Audio,84.49,255.0,510.0,168.98,341.02
370012,1,1/5/2016,,1780669,53,1585,3,USD,SV DVD 60 DVD Storage Binder L20 Black,Southridge Video,Movie DVD,"Music, Movies and Audio Books",7.58,22.89,68.67,22.740000000000002,45.93
370012,2,1/5/2016,,1780669,53,1689,2,USD,SV Hand Games for 12-16 boys E60 Yellow,Southridge Video,Boxed Games,Games and Toys,2.54,4.98,9.96,5.08,4.880000000000001
370013,1,1/5/2016,,5097,6,5,2,AUD,Contoso 2G MP3 Player E200 Red,Contoso,MP4&MP3,Audio,11.0,21.57,43.14,22.0,21.14
370014,1,1/5/2016,,1475886,51,1622,2,USD,Contoso DVD Recorder L200 Black,Contoso,Movie DVD,"Music, Movies and Audio Books",72.56,219.0,438.0,145.12,292.88
370014,2,1/5/2016,,1475886,51,2110,1,USD,Contoso Water Heater 7.2GPM X1800 Red,Contoso,Water Heaters,Home Appliances,488.7,1475.0,1475.0,488.7,986.3
370014,3,1/5/2016,,1475886,51,1694,2,USD,SV Hand Games women M40 Black,Southridge Video,Boxed Games,Games and Toys,4.08,8.88,17.76,8.16,9.600000000000001
371000,1,1/6/2016,,728834,30,81,2,EUR,NT Wireless Bluetooth Stereo Headphones E302 Black,Northwind Traders,Bluetooth Headphones,Audio,18.65,40.55,81.1,37.3,43.8
371001,1,1/6/2016,,76021,2,77,3,AUD,NT Bluetooth Active Headphones E202 Silver,Northwind Traders,Bluetooth Headphones,Audio,17.45,37.95,113.85000000000001,52.349999999999994,61.500000000000014
